,business_id,date,stars,text,cut_off_date,not_recommended_review_count_pre,treatment,text_length,sentiment_score
28,BWITd9JUXP3gSi1z3Y-z8g,2013-10-24 02:21:23,4,amazing pizza. also love ceci bean dip. great outdoor patio.  recommend going on tuesdays for half off select pizzas.,0,9.0,1,117,0.4333
69,BWITd9JUXP3gSi1z3Y-z8g,2013-12-07 13:01:36,5,"in riva never disappoints. the food is delicious (mamas meat balls, polenta, duck ragu & pepperoni pizza are some of my favorites), the waitstaff is always great and the atmosphere is perfect (both indoor and outdoor).    last night we ordered a 4 course tasting menu and it was amazing. everything their kitchen puts out is a masterpiece!",1,9.0,1,339,0.71
74,OHplb2m_dKPXY46mS0CqJQ,2014-02-05 18:35:29,3,food was decent.  the fact that its a byob is great.  environment is a little stuffy and they definitely cater to an older crowd.,1,9.0,1,129,0.1892
93,DRr5xdfHtqgWfhmdTU1B8Q,2013-12-28 22:36:41,4,"i fell upon this great little pub after a tour at esp. what a find! excellent food and interesting beers. the atmosphere was perfect. to the man at the table next to us (saturday 12/28 about 2pm) with the blue sweater-if your date was not successful, please look me up!",1,22.0,1,269,0.3246
111,RZtGWDLCAtuipwaZ-UfjmQ,2013-10-24 21:06:38,5,"my boyfriend and i have visited here a bunch of times and we will still be coming here! everything has always been great! mussels are amazing in the white and the red! chicken marsala is amazing! the drinks are a little to expensive, some of them being as much as your meal itself, but i guess that's because the location. grab a drink across the street at las vegas lounge first to pay average price for a drink than head to an amazing dinner here!",0,9.0,1,449,0.176
120,BWITd9JUXP3gSi1z3Y-z8g,2013-09-03 23:55:01,4,"just went to in riva for the first time. i had heard they had a dog area and wanted to enjoy the evening with my benny. the pizza-n-puppies area was great. the tables were  a little low (dogs could easily reach if they wanted) but considering i've never seen something like it before, i really liked the concept.   i had the mushroom and zucchini pizza and it was alright. the crust was amazing, but i didn't know the pie would have a kick and i truly dislike spicy. next time i know to tell them no spice and they'll leave it off. i think without the spice the pizza would be great.  update: i have been to in riva a few times since writing this original post. just say don't add spice and the pizza will come out amazing. at least, if you're like me and don't like food spicy.  check their facebook page before heading out on a tuesday because you need a password for half price pizza.",0,9.0,1,887,0.2669
124,OHplb2m_dKPXY46mS0CqJQ,2014-01-17 23:44:34,5,"another chestnut hill gem!  their homemade pasta is delicious and has the perfect texture that you look for at a good italian restaurant. our party of 6 arrived late to our reservation unfortunately because of the weather conditions that evening. the staff still greeted us and seated us with friendly faces. i had their pasta dish that comes in a white sauce topped with crab meat, asparagus, and roasted tomatoes (sorry i'm unable to remember what it was called and it's not on their website's menu). it was a lighter option but still very flavorful and delicious. however, the star on their menu has to be their pasta in a cream sauce of beef and mushrooms. three members of our party ordered this dish and everyone made sure to have a bite of it. rich and creamy deliciousness!",1,9.0,1,781,0.246
129,BWITd9JUXP3gSi1z3Y-z8g,2013-12-29 01:14:17,5,"started with a few drinks. nice custom cocktail selection. waitress was real nice and went through the menu with us. it's almost all shared plates. very trendy, cool concept rarely pulled off well. started with buffalo pork belly and meatballs. pork belly was really good. good, spicy and fatty ( you have to be into that thing). meatballs were excellent. the only thing i would have wanted were toast points or crustinis to dip in the left over sauce. the margarita pizza was awesome wood fired, thin sauce (which i believe belongs on a pizza) and a doughy thin crust. finished up with some vanilla and nutella gelato. great meal! we'll be back!",1,9.0,1,646,0.3606
142,wUnLSg_GKfEIQ5CQQ770_g,2013-12-30 02:24:36,5,"by far one of the best meals/experiences i've ever had in the city. our server bill was fabulous; the chef came out frequently and visited our table. if you are looking for great service, food and overall experience- this place will exceed your expectations!",1,24.0,1,258,0.4
156,uKAbrDSJJzZliY1Yqu5KxQ,2014-01-18 06:34:39,2,"def,, not a place i got for italian food ever again good place for italian food spasso front and market and pesto broad and passyunk !!!! def not on my list",1,15.0,1,156,0.2131
191,BWITd9JUXP3gSi1z3Y-z8g,2013-09-05 18:34:33,5,seriously yummy pizza. had the pancetta and pineapple and feel like that will be a staple for me. mouth is watering thinking about it. love the outdoor deck! great little pizza place in walking distance from my house!,0,9.0,1,217,0.2143
244,3lBooCffgkW7tVSG5kILBA,2013-10-06 15:19:38,1,"i was excited to try this restaurant. i was in from los angeles visiting family and yelp had such great things to say. then i asked to use the restroom.   i poked my head in the kitchen and asked the brothers where it was. the chef brother told me i was interrupting him and his brother and that the only place i was allowed to talk to my server was on the floor. i thought he was kidding and the server brother sent me to the restroom.   i came back from the restroom and the chef brother stopped me as i passed the kitchen to tell me that i was never allowed to come near his kitchen and that i needed to get the hell out of his restaurant. i told him i would be happy to leave since he was obviously insane.   the server brother came back to ask to the kitchen to investigate why the chef brother was yelling at a customer. as we left i heard the brothers going at it again.   the service was terrible. because the brothers were having a bad day it was literally impossible for our table to complete placing an order without our server walking away while someone was speaking. we waited at least 15 minutes to place an order while watching the brothers argue in the door to the kitchen.   the food we got, bread and either whipped butter in a dish of oil, was revolting. primarily because none of us could figure out if it was whipped butter or some sort of soft cheese.   it's obvious this is not the first time there two have had these kinds of arguments in their restaurant with customers present based on how easily they engaged in their unprofessional behavior. it's also obvious by how the chef brother treated me that i am not the first customer he has blown up at for no reason.   the relationship between these brothers and their inability to maintain professionalism is going to bring this restaurant down. you simply can't treat customers, or co-workers, the way they treat them.",0,12.0,1,1893,-0.0086
270,BWITd9JUXP3gSi1z3Y-z8g,2013-10-25 15:50:14,4,"went on wednesday for dinner with a friend. turns out that its half price bottles of wine all night. got a bottle of torrontes and ordered the potatoes, octopus, and cipollini to share.   the potatoes with bacon jam that were recommended by our server were delicious. but when we got the $14 octopus we were pretty disappointed by the serving size, very small for the price, but it was very good. the pizza was great and pretty big. for two people it was just the right amount of food.  really great atmosphere as well. definitely will be back soon for half price wine.",0,9.0,1,569,0.2062
295,wUnLSg_GKfEIQ5CQQ770_g,2013-10-07 00:21:07,4,"the food at vetri is excellent. the service is impeccable. it is not cheap. our group of four spent nearly a thousand dollars on food and wine. my most expensive meal ever. recognized as one of the nations top restaurants this is understandable. however, my meal was not the best ever - that was a place called django near south street a decade ago and far less expensive.  don't get me wrong - we had a great meal. terrfic chef. i simply expected ""the best ever"". i'll have to return a second time to be fair.",0,24.0,1,510,0.236
306,3lBooCffgkW7tVSG5kILBA,2013-10-05 17:20:41,5,"i have been to porcini many times over the past couple years, it is my favorite italian byob.   me and my husband love it so much we had our rehearsal dinner here the night before our wedding. the private room upstairs was perfectly accommodating for our small dinner party, under 20 people. we were able to drop off cases of wine and beer a few days ahead of time, and when we showed up the beers were chilling on ice and everything was ready to go. steven and david were amazing to work with, no surprise they put together an outstanding menu for the night, and made me and my family feel right at home. the cozy intimate environment was exactly what we were looking for, and the price was right.",0,12.0,1,698,0.2061
323,j99PtxlKTW_u5alE4jiqHQ,2014-01-01 19:51:12,5,best italian food hands down. if your in philly you must stop here. get the red sauce mussels and the cannoli cake.,1,16.0,1,115,0.2111
360,DRr5xdfHtqgWfhmdTU1B8Q,2013-11-20 16:43:22,3,"decent food/pub to stop by after exploring eastern state next door.  we came here because we were famished and in need of food.  they have a solid happy hour as well as a basic bar food menu if you're not looking for anything heavy.  their beer menu is pretty intense and they have a lot to offer.  for food we decided to go with mini fish and chips.  the fish was good and hot and the fries were addicting.  we also split an order of nachos and salsa.  the chips were meh but the salsa was nice and fresh.  their menu also offers tons of varieties when it comes to vegetables.  they had fried brussel sprouts but we didn't try those.  overall, a good place if you're in the area and you're hungry.  service was friendly.",1,22.0,1,721,0.2651
